aX,aY,aZ,gX,gY,gZ
-0.490,0.468,2.893,2.014,100.769,41.992
-0.465,0.315,2.514,-26.611,95.276,34.851
-0.531,0.232,2.147,-58.228,62.134,22.339
-0.543,0.220,1.782,-75.928,28.198,12.329
-0.367,0.131,1.459,-74.829,26.672,5.737
-0.233,0.092,1.164,-79.224,27.466,-2.502
-0.162,0.066,0.906,-89.233,30.945,-9.277
-0.042,0.065,0.687,-87.952,41.809,-18.127
0.052,0.094,0.547,-75.378,46.814,-22.339
0.127,0.110,0.478,-57.922,43.213,-20.752
0.162,0.120,0.451,-40.710,33.386,-15.991
0.178,0.140,0.492,-25.024,21.179,-10.315
0.163,0.159,0.573,-11.963,7.080,-6.165
0.152,0.174,0.643,-2.625,-5.432,-4.456
0.154,0.194,0.692,2.991,-13.855,-4.211
0.160,0.213,0.727,6.104,-18.921,-4.395
0.155,0.238,0.750,6.592,-21.240,-4.517
0.168,0.251,0.751,5.554,-20.325,-4.639
0.182,0.272,0.740,3.784,-15.686,-5.005
0.216,0.287,0.734,3.967,-8.850,-5.066
0.259,0.294,0.743,3.845,-0.732,-4.761
0.285,0.304,0.767,4.944,6.470,-3.784
0.285,0.305,0.794,7.019,10.376,-0.916
0.259,0.299,0.826,9.460,10.010,2.869
0.247,0.298,0.875,13.672,6.104,5.737
0.240,0.317,0.943,19.958,-1.526,8.606
0.199,0.321,1.038,23.743,-11.292,10.437
0.184,0.325,1.103,22.461,-18.799,8.545
0.168,0.338,1.147,17.395,-23.376,5.249
0.169,0.345,1.152,10.803,-23.132,3.357
0.149,0.333,1.122,4.089,-19.287,2.136
0.141,0.318,1.074,-1.770,-13.489,-0.183
0.140,0.305,1.021,-6.470,-7.324,-3.113
0.142,0.298,0.982,-9.216,-2.441,-4.944
0.147,0.294,0.946,-10.376,1.648,-6.409
0.151,0.298,0.917,-9.949,4.883,-7.202
0.152,0.301,0.897,-9.888,7.629,-7.568
0.168,0.303,0.893,-8.606,10.376,-7.690
0.171,0.307,0.907,-7.568,12.085,-7.751
0.169,0.308,0.924,-7.324,12.329,-7.568
0.183,0.306,0.930,-8.423,12.634,-7.812
0.204,0.302,0.931,-10.010,12.573,-7.629
0.219,0.301,0.932,-12.268,11.841,-6.592
0.213,0.296,0.921,-13.855,9.827,-5.188
0.200,0.287,0.896,-16.235,7.202,-4.517
0.057,-1.835,-0.727,386.780,52.429,-225.891
0.131,-1.983,-0.443,459.656,64.636,-239.563
0.323,-2.226,0.029,530.457,58.105,-249.207
0.828,-2.515,0.774,596.924,40.955,-250.061
1.415,-2.752,2.071,656.799,8.057,-234.253
1.388,-2.638,3.701,688.171,-49.988,-203.186
0.949,-2.143,4.000,644.592,-85.205,-172.241
0.670,-1.442,4.000,523.132,-50.110,-170.898
0.689,-0.848,4.000,371.094,22.217,-209.167
1.010,-0.451,4.000,239.563,93.201,-259.094
1.319,-0.147,4.000,134.949,137.634,-288.452
1.438,0.069,4.000,51.941,155.884,-289.856
1.247,0.456,4.000,-16.846,159.912,-284.546
1.911,0.625,4.000,-66.956,204.407,-274.719
2.059,0.850,4.000,-124.329,198.059,-238.708
1.870,0.874,4.000,-189.697,154.175,-199.280
1.946,0.802,4.000,-241.150,136.047,-177.734
2.142,0.675,4.000,-291.138,125.793,-161.255
2.219,0.477,3.672,-344.910,113.525,-138.550
2.279,0.267,3.158,-397.278,112.976,-115.784
2.339,0.111,2.603,-440.491,124.939,-91.553
2.291,-0.028,2.025,-474.121,141.113,-62.805
2.164,-0.168,1.440,-502.747,154.846,-31.860
2.105,-0.372,0.891,-526.611,164.978,-1.160
2.027,-0.625,0.411,-549.622,165.344,31.311
1.862,-0.932,-0.064,-574.402,154.175,63.232
1.780,-1.230,-0.622,-596.069,137.756,92.651
1.778,-1.472,-1.265,-604.614,114.563,123.657
1.685,-1.593,-1.917,-595.032,75.439,160.461
1.459,-1.661,-2.518,-562.134,24.963,196.777
1.178,-1.693,-3.011,-505.310,-11.475,221.436
0.909,-1.673,-3.361,-430.786,-14.709,229.248
0.778,-1.937,-3.333,-342.712,18.005,225.464
0.550,-2.195,-3.344,-258.484,63.904,210.693
0.288,-2.299,-3.480,-196.045,111.145,181.458
0.082,-2.330,-3.810,-139.648,162.720,143.799
0.065,-2.213,-4.000,-61.401,209.106,104.675
0.177,-2.125,-4.000,51.514,233.765,74.646
0.369,-2.253,-3.832,186.829,237.915,62.744
0.520,-2.562,-3.109,317.505,234.131,65.063
0.667,-2.896,-2.300,428.467,233.093,70.862
0.793,-3.277,-1.560,513.916,235.535,75.623
0.850,-3.596,-0.993,575.195,238.953,78.186
0.890,-3.881,-0.490,620.544,241.211,79.041
0.989,-4.000,0.172,658.997,241.455,78.186
1.182,-4.000,1.195,690.918,237.122,74.158
1.232,-3.818,2.277,703.308,221.802,70.129
1.018,-3.385,3.222,687.561,203.735,70.129
0.722,-2.819,3.681,636.292,192.993,65.247
0.893,-2.491,3.508,566.772,192.749,51.636
1.322,-2.337,3.515,521.484,163.879,50.537
1.457,-1.939,4.000,509.155,78.308,76.721
0.635,-1.310,4.000,477.722,-35.461,129.150
-0.112,-0.628,4.000,384.399,-91.125,161.377
-0.344,-0.123,4.000,249.207,-63.293,139.282
-0.218,0.172,4.000,124.878,14.221,88.562
0.060,0.271,4.000,27.039,103.149,39.673
0.342,0.305,3.457,-39.246,176.575,12.329
