aX,aY,aZ,gX,gY,gZ
-0.192,-1.583,4.000,40.894,-124.146,-78.796
0.026,-1.261,4.000,81.482,-76.965,-62.988
0.058,-0.912,4.000,119.751,-20.935,-50.964
0.133,-0.638,4.000,145.935,34.424,-51.819
0.178,-0.511,3.706,151.794,78.613,-58.289
0.126,-0.487,3.296,131.897,111.267,-56.519
0.029,-0.508,2.930,94.849,136.108,-47.546
-0.026,-0.556,2.690,49.438,150.574,-36.255
-0.073,-0.556,2.543,5.310,161.743,-25.208
-0.147,-0.450,2.467,-31.250,175.598,-13.062
-0.239,-0.263,2.372,-56.458,192.444,-1.770
-0.330,-0.091,2.231,-65.369,211.182,3.601
-0.377,0.037,2.085,-63.293,226.074,0.916
-0.384,0.126,1.965,-59.631,237.183,-5.188
-0.390,0.177,1.865,-62.805,247.070,-9.766
-0.405,0.237,1.792,-76.721,253.235,-12.024
-0.441,0.349,1.778,-97.839,257.324,-14.465
-0.484,0.452,1.757,-116.943,262.939,-18.982
-0.546,0.541,1.726,-128.296,270.996,-25.818
-0.589,0.587,1.656,-134.460,278.992,-36.316
-0.613,0.582,1.551,-136.475,287.781,-49.622
-0.645,0.542,1.391,-135.681,299.438,-62.500
-0.649,0.478,1.226,-136.475,313.110,-72.327
-0.689,0.392,1.030,-143.433,321.350,-79.163
-0.715,0.325,0.852,-157.593,328.064,-85.693
-0.734,0.248,0.705,-176.514,334.167,-93.018
-0.752,0.170,0.562,-195.251,337.708,-103.088
-0.721,-0.018,0.369,-204.956,340.332,-116.943
-0.645,-0.256,0.140,-200.745,340.881,-132.568
-0.587,-0.468,-0.110,-186.584,338.928,-145.935
-0.535,-0.658,-0.396,-162.842,329.956,-157.410
-0.390,-0.917,-0.710,-130.554,315.430,-163.452
-0.211,-1.191,-0.998,-97.473,296.143,-159.424
-0.055,-1.357,-1.179,-76.294,266.724,-144.409
0.106,-1.442,-1.215,-69.763,229.736,-124.817
0.238,-1.477,-1.171,-71.167,191.284,-103.088
0.331,-1.470,-1.068,-72.144,154.907,-81.299
0.402,-1.418,-0.930,-71.655,122.864,-62.622
0.487,-1.329,-0.751,-67.078,98.083,-48.401
0.553,-1.213,-0.580,-58.044,81.787,-36.255
0.591,-1.105,-0.467,-48.035,73.059,-24.841
0.624,-1.015,-0.394,-37.659,69.702,-15.442
0.606,-0.929,-0.353,-26.978,65.247,-6.653
0.580,-0.848,-0.327,-19.287,58.838,-0.305
0.602,-0.780,-0.302,-15.869,46.692,6.714
0.647,-0.675,-0.269,-16.724,30.151,17.700
0.656,-0.522,-0.224,-20.569,12.024,32.043
0.679,-0.371,-0.165,-24.048,-7.019,44.861
0.684,-0.213,-0.090,-24.902,-23.926,51.453
0.699,-0.066,0.018,-22.339,-36.926,52.612
